dataset_name,group,winner,acc_iclv2_ensmble32,acc_ttt_step8,delta_pp,delta_correct_est,change_strength,n_train_iclv2_ensmble32,n_test_compare,n_features_iclv2_ensmble32,n_classes_iclv2_ensmble32,task_type_iclv2_ensmble32,acc_bin,train_bin,feature_bin,class_bin,n_num_features_json,n_cat_features_json,feature_modality,imbalance_ratio,imbalance_bin,source_family,domain_tag,ttt_applied_bool,ttt_steps,ttt_split_reason,analysis_reason,recommendation,source,info_json_path
mobile_c36_oversampling,ICLv2更高,iclv2_ensmble32,0.9943006182380216,0.9942040185471408,-0.0096599690880827,-0.9999999999983268,weak,41408,10352,6,2,binclass,>0.95,>20k,<=10,2,6,0,numeric_only,,unknown,uci,other,True,8,stratified split,TTT 实际执行；ICLv2 已接近 ceiling，剩余 headroom 小；下降幅度很小，更像局部样本波动；纯数值特征占主导,净错样本很少；先用多 seed 判断是否为评测离散波动。,https://archive.ics.uci.edu/dataset/755/accelerometer+gyro+mobile+phone+dataset,data178/mobile_c36_oversampling/info.json
default_of_credit_card_clients,ICLv2更高,iclv2_ensmble32,0.8271666666666667,0.827,-0.0166666666666759,-1.000000000000556,weak,24000,6000,23,2,binclass,0.8-0.9,>20k,11-30,2,14,9,mixed,,unknown,uci,business/customer/finance,True,8,stratified split,TTT 实际执行；ICLv2 处在中高准确率区间，有可校正边界且不是完全无结构；下降幅度很小，更像局部样本波动；数值+类别混合，类别编码稳定性会影响 TTT,净错样本很少；先用多 seed 判断是否为评测离散波动。,https://archive.ics.uci.edu/dataset/350/default+of+credit+card+clients,data178/default_of_credit_card_clients/info.json
credit,ICLv2更高,iclv2_ensmble32,0.7858211187556088,0.7855219862399043,-0.0299132515704458,-1.000000000000006,weak,13371,3343,10,2,binclass,0.7-0.8,5k-20k,<=10,2,10,0,numeric_only,1.0,<=1.2,openml,business/customer/finance,True,8,stratified split,TTT 实际执行；ICLv2 有中等 headroom，TTT 可能修正也可能过拟合；下降幅度很小，更像局部样本波动；纯数值特征占主导；类别较均衡,净错样本很少；先用多 seed 判断是否为评测离散波动。,https://www.openml.org/search?type=data&status=active&id=44089&sort=runs,data178/credit/info.json
gas-drift,ICLv2更高,iclv2_ensmble32,0.9971243709561468,0.996764917325665,-0.0359453630481843,-1.0000000000004872,weak,11128,2782,128,6,multiclass,>0.95,5k-20k,>80,6-10,128,0,numeric_only,1.83363802559415,1.2-2,openml,vision/sensor/pattern; synthetic/rule-generated,True,8,stratified split,TTT 实际执行；ICLv2 已接近 ceiling，剩余 headroom 小；下降幅度很小，更像局部样本波动；纯数值特征占主导；规则/合成结构明显，TTT 容易放大边界校正也可能过拟合规则噪声；视觉/传感器/模式类常有较强局部结构,净错样本很少；先用多 seed 判断是否为评测离散波动。,https://www.openml.org/search?type=data&status=active&id=1476&sort=runs,data178/gas-drift/info.json
pendigits,ICLv2更高,iclv2_ensmble32,0.9972714870395636,0.9968167348794906,-0.0454752160072957,-1.000000000000434,weak,8793,2199,16,10,multiclass,>0.95,5k-20k,11-30,6-10,16,0,numeric_only,1.0843601895734598,<=1.2,openml,text/sequence/symbolic; vision/sensor/pattern,True,8,stratified split,TTT 实际执行；ICLv2 已接近 ceiling，剩余 headroom 小；下降幅度很小，更像局部样本波动；纯数值特征占主导；类别较均衡；视觉/传感器/模式类常有较强局部结构,净错样本很少；先用多 seed 判断是否为评测离散波动。,https://www.openml.org/search?type=data&status=active&id=32&sort=runs,data178/pendigits/info.json
jm1,ICLv2更高,iclv2_ensmble32,0.819935691318328,0.8194763435920992,-0.0459347726228798,-1.0000000000000937,weak,8708,2177,21,2,binclass,0.8-0.9,5k-20k,11-30,2,21,0,numeric_only,4.168566001899335,2-5,openml,text/sequence/symbolic,True,8,stratified split,TTT 实际执行；ICLv2 处在中高准确率区间，有可校正边界且不是完全无结构；下降幅度很小，更像局部样本波动；纯数值特征占主导,净错样本很少；先用多 seed 判断是否为评测离散波动。,https://www.openml.org/search?type=data&status=active&id=1053&sort=runs,data178/jm1/info.json
Bank_Customer_Churn_Dataset,ICLv2更高,iclv2_ensmble32,0.875,0.8745,-0.0499999999999944,-0.99999999999989,weak,8000,2000,10,2,binclass,0.8-0.9,5k-20k,<=10,2,6,4,mixed,,unknown,kaggle,business/customer/finance,True,8,stratified split,TTT 实际执行；ICLv2 处在中高准确率区间，有可校正边界且不是完全无结构；下降幅度很小，更像局部样本波动；数值+类别混合，类别编码稳定性会影响 TTT,净错样本很少；先用多 seed 判断是否为评测离散波动。,https://www.kaggle.com/datasets/gauravtopre/bank-customer-churn-dataset,data178/Bank_Customer_Churn_Dataset/info.json
naticusdroid+android+permissions+dataset,ICLv2更高,iclv2_ensmble32,0.9730697119481848,0.9725583773649225,-0.0511334583262357,-3.00000000000025,weak,23465,5867,86,2,binclass,>0.95,>20k,>80,2,0,86,categorical_only,,unknown,uci,text/sequence/symbolic,True,8,stratified split,TTT 实际执行；ICLv2 已接近 ceiling，剩余 headroom 小；下降幅度很小，更像局部样本波动；纯类别特征，TTT 更依赖离散组合模式,需要保护性选择器；不要在此类样本上无条件使用 step8。,https://archive.ics.uci.edu/dataset/722/naticusdroid+android+permissions+dataset,data178/naticusdroid+android+permissions+dataset/info.json
water_quality,ICLv2更高,iclv2_ensmble32,0.911875,0.91125,-0.0624999999999986,-0.9999999999999788,weak,6396,1600,20,2,binclass,0.9-0.95,5k-20k,11-30,2,20,0,numeric_only,,unknown,kaggle,scientific/health/environment,True,8,stratified split,TTT 实际执行；ICLv2 处在中高准确率区间，有可校正边界且不是完全无结构；下降幅度很小，更像局部样本波动；纯数值特征占主导,净错样本很少；先用多 seed 判断是否为评测离散波动。,https://www.kaggle.com/datasets/mssmartypants/water-quality,data178/water_quality/info.json
optdigits,ICLv2更高,iclv2_ensmble32,0.9973309608540926,0.99644128113879,-0.0889679715302516,-1.000000000000028,weak,4496,1124,64,10,multiclass,>0.95,1k-5k,31-80,6-10,64,0,numeric_only,1.032490974729242,<=1.2,openml,vision/sensor/pattern,True,8,stratified split,TTT 实际执行；ICLv2 已接近 ceiling，剩余 headroom 小；下降幅度很小，更像局部样本波动；纯数值特征占主导；类别较均衡；视觉/传感器/模式类常有较强局部结构,净错样本很少；先用多 seed 判断是否为评测离散波动。,https://www.openml.org/search?type=data&status=active&id=28&sort=runs,data178/optdigits/info.json
