dataset_name,group,winner,change_strength,delta_pp,delta_correct_est,acc_iclv2_ensmble32,acc_ttt_step8,task_type_iclv2_ensmble32,task_type_json,train_size_json,val_size_json,test_size_json,total_size_json,train_size_bin,test_size_bin,n_num_features_json,n_cat_features_json,total_features_json,feature_modality,feature_count_bin,n_features_iclv2_ensmble32,feature_count_mismatch,class_count_json,n_classes_iclv2_ensmble32,class_count_bin,class_count_mismatch,imbalance_ratio,imbalance_bin,source_family,domain_tag,ttt_applied,ttt_steps,ttt_lr,ttt_update_seconds,ttt_execution_group,ttt_split_strategy,ttt_split_reason,source,openml_id,task_intro,num_feature_intro,cat_feature_intro,feature_intro,target_intro,dataset_analysis,info_json_path,info_json_missing
jungle_chess_2pcs_raw_endgame_complete,TTT step8更高,ttt_step8,strong_gain_>=1pp,4.060687193217294,363.99999999999824,0.892458723784025,0.933065595716198,multiclass,multiclass,28684,7171,8964,44819,very_large_>=20k,large_2k-10k,6,0,6,numeric_only,low_dim_<=10,6,False,3,3,multi_3-5,False,5.3199538638985,high_3-10,openml,game_logic_theorem,True,8,5e-06,1079.6986367702484,TTT执行,stratified,stratified split,https://www.openml.org/search?type=data&status=active&id=41027&sort=runs,41027,"### Description ###

This dataset is part of a collection datasets based on the game ""Jungle Chess"" (a.k.a. Dou Shou Qi). For a description of the rules, please refer to the paper (link attached). The paper also contains a description of various constructed features. As the tablebases are a disjoint set of several tablebases based on which (two) pieces are on the board, we have uploaded all tablebases that have explicit different content:

* Rat vs Rat
* Rat vs Panther
* Rat vs. Lion
* Rat vs. Elephant
* Panther vs. Lion
* Panther vs. Elephant
* Tiger vs. Lion
* Lion vs. Lion
* Lion vs. Elephant
* Elephant vs. Elephant
* Complete (Combination of the above)
* RAW Complete (Combination of the above, containing for both pieces just the rank, file and strength information). This dataset contains a similar classification problem as, e.g., the King and Rook vs. King problem and is suitable for classification tasks. 

(Note that this dataset is one of the above mentioned datasets). Additionally, note that several subproblems are very similar. Having seen a given positions from one of the tablebases arguably gives a lot of information about the outcome of the same position in the other tablebases. 

### Please cite ###
J. N. van Rijn and J. K. Vis, Endgame Analysis of Dou Shou Qi. ICGA Journal 37:2, 120--124, 2014. ArXiv link: https://arxiv.org/abs/1604.07312","{'white_piece0_strength': 'white_piece0_strength', 'white_piece0_file': 'white_piece0_file', 'white_piece0_rank': 'white_piece0_rank', 'black_piece0_strength': 'black_piece0_strength', 'black_piece0_file': 'black_piece0_file', 'black_piece0_rank': 'black_piece0_rank'}",{},missing,missing,"TTT step8 提升 +4.0607 pp；TTT执行；中等headroom；数据形态 very_large_>=20k, low_dim_<=10, multi_3-5, numeric_only。",data178/jungle_chess_2pcs_raw_endgame_complete/info.json,False
compass,TTT step8更高,ttt_step8,strong_gain_>=1pp,3.124061279663559,103.99999999999989,0.8305797536797838,0.8618203664764194,binclass,binclass,10652,2663,3329,16644,large_5k-20k,large_2k-10k,8,9,17,mixed_num_cat,mid_dim_11-50,17,False,2,2,binary,False,1.0,balanced_<=1.5,openml,finance_credit,True,8,5e-06,176.27851939201355,TTT执行,stratified,stratified split,https://www.openml.org/search?type=data&status=active&id=44162&sort=runs,44162,"Dataset used in the tabular data benchmark https://github.com/LeoGrin/tabular-benchmark, transformed in the same way. This dataset belongs to the ""classification on categorical and numerical features"" benchmark.
            Original source: https://github.com/propublica/compas-analysis/blob/master/cox-violent-parsed.csv Please give credit to the original source if you use this dataset.","{'age': 'age', 'juv_fel_count': 'juv_fel_count', 'juv_misd_count': 'juv_misd_count', 'juv_other_count': 'juv_other_count', 'priors_count': 'priors_count', 'days_b_screening_arrest': 'days_b_screening_arrest', 'c_days_from_compas': 'c_days_from_compas', 'end': 'end'}","{'sex': 'sex', 'age_cat': 'age_cat', 'race': 'race', 'c_charge_degree': 'c_charge_degree', 'decile_score.1': 'decile_score.1', 'score_text': 'score_text', 'v_type_of_assessment': 'v_type_of_assessment', 'v_decile_score': 'v_decile_score', 'v_score_text': 'v_score_text'}",missing,missing,"TTT step8 提升 +3.1241 pp；TTT执行；中等headroom；数据形态 large_5k-20k, mid_dim_11-50, binary, mixed_num_cat。",data178/compass/info.json,False
eye_movements,TTT step8更高,ttt_step8,strong_gain_>=1pp,3.0164533820841055,66.00000000000023,0.8354661791590493,0.8656307129798904,multiclass,multiclass,6998,1750,2188,10936,large_5k-20k,large_2k-10k,24,3,27,mixed_num_cat,mid_dim_11-50,27,False,3,3,multi_3-5,False,1.4850174216027874,balanced_<=1.5,openml,web_text_security,True,8,5e-06,91.28988671302795,TTT执行,stratified,stratified split,https://www.openml.org/search?type=data&status=active&id=1044&sort=runs,1044,"**Author**:   
**Source**: Unknown - Date unknown  
**Please cite**:   

Jarkko Salojarvi, Kai Puolamaki, Jaana Simola, Lauri Kovanen, Ilpo Kojo, Samuel Kaski. Inferring Relevance from Eye Movements: Feature Extraction. Helsinki University of Technology, Publications in Computer and Information Science, Report A82. 3 March 2005. Data set at http://www.cis.hut.fi/eyechallenge2005/

Competition 1 (preprocessed data)
A straight-forward classification task. We provide pre-computed feature vectors for each word in the eye movement trajectory, with class labels.

The dataset consist of several assignments. Each assignment consists of a question followed by ten sentences (titles of news articles). One of the sentences is the correct answer to the question (C) and five of the sentences are irrelevant to the question (I). Four of the sentences are relevant to the question (R), but they do not answer it.


* Features are in columns, feature vectors in rows.
* Each assignment is a time sequence of 22-dimensional feature vectors.
* The first column is the line number, second the assignment number and the next 22 columns (3 to 24) are the different features. Columns 25 to 27 contain extra information about the example. The training data set contains the classification label in the 28th column: ""0"" for irrelevant, ""1"" for relevant and ""2"" for the correct answer.
* Each example (row) represents a single word. You are asked to return the classification of each read sentence.
* The 22 features provided are commonly used in psychological studies on eye movement. All of them are not necessarily relevant in this context.

The objective of the Challenge is to predict the classification labels (I, R, C).



Please see the technical report for information of eye movements, experimental setup, baseline methods and references:

Jarkko Salojarvi, Kai Puolamaki, Jaana Simola, Lauri Kovanen, Ilpo Kojo, Samuel Kaski. Inferring Relevance from Eye Movements: Feature Extraction. Helsinki University of Technology, Publications in Computer and Information Science, Report A82. 3 March 2005. [PDF]



Modified by TunedIT (converted to ARFF format)


FEATURES

The values in columns marked with an asterisk (*) are same for all occurances of the word.

COL	NAME		DESCRIPTION
1	#line		Line number
2	#assg		Assignment Number
3	fixcount	Number of fixations to the word
4*	firstPassCnt	Number of fixations to the word when it is first encountered
5*	P1stFixation	'1' if fixation occured when the sentence the word was in was encountered the first time
6*	P2stFixation	'1' if fixation occured when the sentence the word was in was encountered the second time
7*	prevFixDur	Duration of previous fixation
8*	firstfixDur	Duration of the first fixation when the word is first encountered
9*	firstPassFixDur	Sum of durations of fixations when the word is first encountered
10*	nextFixDur	Duration of the next fixation when gaze initially moves from the word
11	firstSaccLen	Length of the first saccade
12	lastSaccLen	Distance between fixation on the word and the next fixation
13	prevFixPos	Distance between the first fixation preceding the word and the beginning ot the word
14	landingPos	Distance between the first fixation on the word and the beginning of the word
15	leavingPos	Distance between the last fixation on the word and the beginning of the word
16	totalFixDur	Sum of all durations of fixations to the word
17	meanFixDur	Mean duration of the fixations to the word
18*	nRegressFrom	Number of regressions leaving from the word
19*	regressLen	Sum of durations of regressions initiating from this word
20*	nextWordRegress	'1' if a regression initiated from the following word
21*	regressDur	Sum of durations of the fixations on the word during regression
22	pupilDiamMax	Maximum pupil diameter
23	pupilDiamLag	Maximum pupil diameter 0.5 - 1.5 seconds after the beginning of fixation
24	timePrtctg	First fixation duration divided by the total number of fixations
25	nWordsInTitle	Number of word in the sentence (title) this word is in
26	titleNo		Title number
27	wordNo		Word number (ordinal) in this title
28	label		Classification for training data ('0'=irrelevant, '1'=relevant, '2'=correct)","{'lineNo': 'lineNo', 'assgNo': 'assgNo', 'fixcount': 'fixcount', 'firstPassCnt': 'firstPassCnt', 'prevFixDur': 'prevFixDur', 'firstfixDur': 'firstfixDur', 'firstPassFixDur': 'firstPassFixDur', 'nextFixDur': 'nextFixDur', 'firstSaccLen': 'firstSaccLen', 'lastSaccLen': 'lastSaccLen', 'prevFixPos': 'prevFixPos', 'landingPos': 'landingPos', 'leavingPos': 'leavingPos', 'totalFixDur': 'totalFixDur', 'meanFixDur': 'meanFixDur', 'nRegressFrom': 'nRegressFrom', 'regressLen': 'regressLen', 'regressDur': 'regressDur', 'pupilDiamMax': 'pupilDiamMax', 'pupilDiamLag': 'pupilDiamLag', 'timePrtctg': 'timePrtctg', 'nWordsInTitle': 'nWordsInTitle', 'titleNo': 'titleNo', 'wordNo': 'wordNo'}","{'P1stFixation': 'P1stFixation', 'P2stFixation': 'P2stFixation', 'nextWordRegress': 'nextWordRegress'}",missing,missing,"TTT step8 提升 +3.0165 pp；TTT执行；中等headroom；数据形态 large_5k-20k, mid_dim_11-50, multi_3-5, mixed_num_cat。",data178/eye_movements/info.json,False
mfeat-morphological,TTT step8更高,ttt_step8,strong_gain_>=1pp,2.500000000000002,10.000000000000009,0.77,0.795,multiclass,multiclass,1280,320,400,2000,small_<1.5k,small_<500,6,0,6,numeric_only,low_dim_<=10,6,False,10,10,multi_6-10,False,1.0,balanced_<=1.5,openml,image_character_shape,True,8,5e-06,11.792447566986084,TTT执行,stratified,stratified split,https://www.openml.org/search?type=data&status=active&id=18&sort=runs,18,"**Author**: Robert P.W. Duin, Department of Applied Physics, Delft University of Technology  
**Source**: [UCI](https://archive.ics.uci.edu/ml/datasets/Multiple+Features) - 1998  
**Please cite**: [UCI](https://archive.ics.uci.edu/ml/citation_policy.html)   

**Multiple Features Dataset: Morphological**  
One of a set of 6 datasets describing features of handwritten numerals (0 - 9) extracted from a collection of Dutch utility maps. Corresponding patterns in different datasets correspond to the same original character. 200 instances per class (for a total of 2,000 instances) have been digitized in binary images. 

In this dataset, these digits are represented in terms of 6 morphological features. 

### Attribute Information  
The meaning of the features is mostly unknown. They are never named in the original files, and the paper only talks about 'morphological features, such as the number of endpoints'.

### Relevant Papers  
A slightly different version of the database is used in  
M. van Breukelen, R.P.W. Duin, D.M.J. Tax, and J.E. den Hartog, Handwritten digit recognition by combined classifiers, Kybernetika, vol. 34, no. 4, 1998, 381-386.
 
The database as is is used in:  
A.K. Jain, R.P.W. Duin, J. Mao, Statistical Pattern Recognition: A Review, IEEE Transactions on Pattern Analysis and Machine Intelligence archive, Volume 22 Issue 1, January 2000","{'att1': 'att1', 'att2': 'att2', 'att3': 'att3', 'att4': 'att4', 'att5': 'att5', 'att6': 'att6'}",{},missing,missing,"TTT step8 提升 +2.5000 pp；TTT执行；低基线/高难度；数据形态 small_<1.5k, low_dim_<=10, multi_6-10, numeric_only。",data178/mfeat-morphological/info.json,False
eye_movements_bin,TTT step8更高,ttt_step8,strong_gain_>=1pp,2.2996057818659654,34.99999999999999,0.6550591327201051,0.6780551905387647,binclass,binclass,4868,1218,1522,7608,medium_1.5k-5k,medium_500-2k,20,0,20,numeric_only,mid_dim_11-50,20,False,2,2,binary,False,1.0,balanced_<=1.5,openml,web_text_security,True,8,5e-06,51.26825428009033,TTT执行,stratified,stratified split,https://www.openml.org/search?type=data&status=active&id=44130&sort=runs,44130,"Dataset used in the tabular data benchmark https://github.com/LeoGrin/tabular-benchmark, transformed in the same way. This dataset belongs to the ""classification on numerical features"" benchmark. Original description: 
 
**Author**:   
**Source**: Unknown - Date unknown  
**Please cite**:   

Jarkko Salojarvi, Kai Puolamaki, Jaana Simola, Lauri Kovanen, Ilpo Kojo, Samuel Kaski. Inferring Relevance from Eye Movements: Feature Extraction. Helsinki University of Technology, Publications in Computer and Information Science, Report A82. 3 March 2005. Data set at http://www.cis.hut.fi/eyechallenge2005/

Competition 1 (preprocessed data)
A straight-forward classification task. We provide pre-computed feature vectors for each word in the eye movement trajectory, with class labels.

The dataset consist of several assignments. Each assignment consists of a question followed by ten sentences (titles of news articles). One of the sentences is the correct answer to the question (C) and five of the sentences are irrelevant to the question (I). Four of the sentences are relevant to the question (R), but they do not answer it.


* Features are in columns, feature vectors in rows.
* Each assignment is a time sequence of 22-dimensional feature vectors.
* The first column is the line number, second the assignment number and the next 22 columns (3 to 24) are the different features. Columns 25 to 27 contain extra information about the example. The training data set contains the classification label in the 28th column: ""0"" for irrelevant, ""1"" for relevant and ""2"" for the correct answer.
* Each example (row) represents a single word. You are asked to return the classification of each read sentence.
* The 22 features provided are commonly used in psychological studies on eye movement. All of them are not necessarily relevant in this context.

The objective of the Challenge is to predict the classification labels (I, R, C).



Please see the technical report for information of eye movements, experimental setup, baseline methods and references:

Jarkko Salojarvi, Kai Puolamaki, Jaana Simola, Lauri Kovanen, Ilpo Kojo, Samuel Kaski. Inferring Relevance from Eye Movements: Feature Extraction. Helsinki University of Technology, Publications in Computer and Information Science, Report A82. 3 March 2005. [PDF]



Modified by TunedIT (converted to ARFF format)


FEATURES

The values in columns marked with an asterisk (*) are same for all occurances of the word.

COL	NAME		DESCRIPTION
1	#line		Line number
2	#assg		Assignment Number
3	fixcount	Number of fixations to the word
4*	firstPassCnt	Number of fixations to the word when it is first encountered
5*	P1stFixation	'1' if fixation occured when the sentence the word was in was encountered the first time
6*	P2stFixation	'1' if fixation occured when the sentence the word was in was encountered the second time
7*	prevFixDur	Duration of previous fixation
8*	firstfixDur	Duration of the first fixation when the word is first encountered
9*	firstPassFixDur	Sum of durations of fixations when the word is first encountered
10*	nextFixDur	Duration of the next fixation when gaze initially moves from the word
11	firstSaccLen	Length of the first saccade
12	lastSaccLen	Distance between fixation on the word and the next fixation
13	prevFixPos	Distance between the first fixation preceding the word and the beginning ot the word
14	landingPos	Distance between the first fixation on the word and the beginning of the word
15	leavingPos	Distance between the last fixation on the word and the beginning of the word
16	totalFixDur	Sum of all durations of fixations to the word
17	meanFixDur	Mean duration of the fixations to the word
18*	nRegressFrom	Number of regressions leaving from the word
19*	regressLen	Sum of durations of regressions initiating from this word
20*	nextWordRegress	'1' if a regression initiated from the following word
21*	regressDur	Sum of durations of the fixations on the word during regression
22	pupilDiamMax	Maximum pupil diameter
23	pupilDiamLag	Maximum pupil diameter 0.5 - 1.5 seconds after the beginning of fixation
24	timePrtctg	First fixation duration divided by the total number of fixations
25	nWordsInTitle	Number of word in the sentence (title) this word is in
26	titleNo		Title number
27	wordNo		Word number (ordinal) in this title
28	label		Classification for training data ('0'=irrelevant, '1'=relevant, '2'=correct)","{'lineNo': 'lineNo', 'assgNo': 'assgNo', 'prevFixDur': 'prevFixDur', 'firstfixDur': 'firstfixDur', 'firstPassFixDur': 'firstPassFixDur', 'nextFixDur': 'nextFixDur', 'firstSaccLen': 'firstSaccLen', 'lastSaccLen': 'lastSaccLen', 'prevFixPos': 'prevFixPos', 'landingPos': 'landingPos', 'leavingPos': 'leavingPos', 'totalFixDur': 'totalFixDur', 'meanFixDur': 'meanFixDur', 'regressLen': 'regressLen', 'regressDur': 'regressDur', 'pupilDiamMax': 'pupilDiamMax', 'pupilDiamLag': 'pupilDiamLag', 'timePrtctg': 'timePrtctg', 'titleNo': 'titleNo', 'wordNo': 'wordNo'}",{},missing,missing,"TTT step8 提升 +2.2996 pp；TTT执行；低基线/高难度；数据形态 medium_1.5k-5k, mid_dim_11-50, binary, numeric_only。",data178/eye_movements_bin/info.json,False
Pima_Indians_Diabetes_Database,TTT step8更高,ttt_step8,strong_gain_>=1pp,1.9480519480519431,2.9999999999999925,0.7272727272727273,0.7467532467532467,binclass,binclass,491,123,154,768,small_<1.5k,small_<500,8,0,8,numeric_only,low_dim_<=10,8,False,2,2,binary,False,,missing,kaggle,health_medical,True,8,5e-06,11.009694814682009,TTT执行,stratified,stratified split,https://www.kaggle.com/datasets/uciml/pima-indians-diabetes-database,missing,missing,missing,missing,missing,missing,"TTT step8 提升 +1.9481 pp；TTT执行；低基线/高难度；数据形态 small_<1.5k, low_dim_<=10, binary, numeric_only。",data178/Pima_Indians_Diabetes_Database/info.json,False
banknote_authentication,TTT step8更高,ttt_step8,strong_gain_>=1pp,1.8181818181818188,5.000000000000002,0.5381818181818182,0.5563636363636364,binclass,binclass,877,220,275,1372,small_<1.5k,small_<500,4,0,4,numeric_only,low_dim_<=10,4,False,2,2,binary,False,,missing,uci,general_tabular,True,8,5e-06,6.071921110153198,TTT执行,stratified,stratified split,https://archive.ics.uci.edu/dataset/267/banknote+authentication,missing,missing,missing,missing,missing,missing,"TTT step8 提升 +1.8182 pp；TTT执行；低基线/高难度；数据形态 small_<1.5k, low_dim_<=10, binary, numeric_only。",data178/banknote_authentication/info.json,False
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,TTT step8更高,ttt_step8,strong_gain_>=1pp,1.5000000000000013,6.000000000000005,0.595,0.61,binclass,binclass,1280,320,400,2000,small_<1.5k,small_<500,3,4,7,mixed_num_cat,low_dim_<=10,7,False,2,2,binary,False,1.244668911335578,balanced_<=1.5,openml,general_tabular,True,8,5e-06,10.450993061065674,TTT执行,stratified,stratified split,https://www.openml.org/search?type=data&status=active&id=44528&sort=runs,44528,"Subsampling of the dataset airlines (1169) with

seed=0
args.nrows=2000
args.ncols=100
args.nclasses=10
args.no_stratify=True
Generated with the following source code:


```python
    def subsample(
        self,
        seed: int,
        nrows_max: int = 2_000,
        ncols_max: int = 100,
        nclasses_max: int = 10,
        stratified: bool = True,
    ) -> Dataset:
        rng = np.random.default_rng(seed)

        x = self.x
        y = self.y

        # Uniformly sample
        classes = y.unique()
        if len(classes) > nclasses_max:
            vcs = y.value_counts()
            selected_classes = rng.choice(
                classes,
                size=nclasses_max,
                replace=False,
                p=vcs / sum(vcs),
            )

            # Select the indices where one of these classes is present
            idxs = y.index[y.isin(classes)]
            x = x.iloc[idxs]
            y = y.iloc[idxs]

        # Uniformly sample columns if required
        if len(x.columns) > ncols_max:
            columns_idxs = rng.choice(
                list(range(len(x.columns))), size=ncols_max, replace=False
            )
            sorted_column_idxs = sorted(columns_idxs)
            selected_columns = list(x.columns[sorted_column_idxs])
            x = x[selected_columns]
        else:
            sorted_column_idxs = list(range(len(x.columns)))

        if len(x) > nrows_max:
            # Stratify accordingly
            target_name = y.name
            data = pd.concat((x, y), axis=""columns"")
            _, subset = train_test_split(
                data,
                test_size=nrows_max,
                stratify=data[target_name],
                shuffle=True,
                random_state=seed,
            )
            x = subset.drop(target_name, axis=""columns"")
            y = subset[target_name]

        # We need to convert categorical columns to string for openml
        categorical_mask = [self.categorical_mask[i] for i in sorted_column_idxs]
        columns = list(x.columns)

        return Dataset(
            # Technically this is not the same but it's where it was derived from
            dataset=self.dataset,
            x=x,
            y=y,
            categorical_mask=categorical_mask,
            columns=columns,
        )
```","{'Flight': 'Flight', 'Time': 'Time', 'Length': 'Length'}","{'Airline': 'Airline', 'AirportFrom': 'AirportFrom', 'AirportTo': 'AirportTo', 'DayOfWeek': 'DayOfWeek'}",missing,missing,"TTT step8 提升 +1.5000 pp；TTT执行；低基线/高难度；数据形态 small_<1.5k, low_dim_<=10, binary, mixed_num_cat。",data178/airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True/info.json,False
hill-valley,TTT step8更高,ttt_step8,strong_gain_>=1pp,1.2345679012345623,2.9999999999999862,0.97119341563786,0.9835390946502056,binclass,binclass,775,194,243,1212,small_<1.5k,small_<500,100,0,100,numeric_only,high_dim_51-100,100,False,2,2,binary,False,1.0,balanced_<=1.5,openml,general_tabular,True,8,5e-06,14.430621147155762,TTT执行,stratified,stratified split,https://www.openml.org/search?type=data&status=active&id=1479&sort=runs,1479,"**Author**: Lee Graham, Franz Oppacher  
**Source**: [UCI](http://archive.ics.uci.edu/ml/datasets/hill-valley)  
**Please cite**:   

Each record represents 100 points on a two-dimensional graph. When plotted in order (from 1 through 100) as the Y coordinate, the points will create either a Hill (a “bump” in the terrain) or a Valley (a “dip” in the terrain). 
See the original source for some examples of these graphs. 

In the original form, there are six files. This is the non-noisy version, with training and test sets merged. 

### Attribute Information:

1-100: Labeled “X##”. Floating point values (numeric), the Y-values of the graphs.  
101: Labeled “class”. Binary {0, 1} representing {valley, hill}","{'V1': 'V1', 'V2': 'V2', 'V3': 'V3', 'V4': 'V4', 'V5': 'V5', 'V6': 'V6', 'V7': 'V7', 'V8': 'V8', 'V9': 'V9', 'V10': 'V10', 'V11': 'V11', 'V12': 'V12', 'V13': 'V13', 'V14': 'V14', 'V15': 'V15', 'V16': 'V16', 'V17': 'V17', 'V18': 'V18', 'V19': 'V19', 'V20': 'V20', 'V21': 'V21', 'V22': 'V22', 'V23': 'V23', 'V24': 'V24', 'V25': 'V25', 'V26': 'V26', 'V27': 'V27', 'V28': 'V28', 'V29': 'V29', 'V30': 'V30', 'V31': 'V31', 'V32': 'V32', 'V33': 'V33', 'V34': 'V34', 'V35': 'V35', 'V36': 'V36', 'V37': 'V37', 'V38': 'V38', 'V39': 'V39', 'V40': 'V40', 'V41': 'V41', 'V42': 'V42', 'V43': 'V43', 'V44': 'V44', 'V45': 'V45', 'V46': 'V46', 'V47': 'V47', 'V48': 'V48', 'V49': 'V49', 'V50': 'V50', 'V51': 'V51', 'V52': 'V52', 'V53': 'V53', 'V54': 'V54', 'V55': 'V55', 'V56': 'V56', 'V57': 'V57', 'V58': 'V58', 'V59': 'V59', 'V60': 'V60', 'V61': 'V61', 'V62': 'V62', 'V63': 'V63', 'V64': 'V64', 'V65': 'V65', 'V66': 'V66', 'V67': 'V67', 'V68': 'V68', 'V69': 'V69', 'V70': 'V70', 'V71': 'V71', 'V72': 'V72', 'V73': 'V73', 'V74': 'V74', 'V75': 'V75', 'V76': 'V76', 'V77': 'V77', 'V78': 'V78', 'V79': 'V79', 'V80': 'V80', 'V81': 'V81', 'V82': 'V82', 'V83': 'V83', 'V84': 'V84', 'V85': 'V85', 'V86': 'V86', 'V87': 'V87', 'V88': 'V88', 'V89': 'V89', 'V90': 'V90', 'V91': 'V91', 'V92': 'V92', 'V93': 'V93', 'V94': 'V94', 'V95': 'V95', 'V96': 'V96', 'V97': 'V97', 'V98': 'V98', 'V99': 'V99', 'V100': 'V100'}",{},missing,missing,"TTT step8 提升 +1.2346 pp；TTT执行；高基线接近天花板；数据形态 small_<1.5k, high_dim_51-100, binary, numeric_only。",data178/hill-valley/info.json,False
kc1,TTT step8更高,ttt_step8,strong_gain_>=1pp,1.1848341232227444,4.999999999999981,0.8720379146919431,0.8838862559241706,binclass,binclass,1349,338,422,2109,small_<1.5k,small_<500,21,0,21,numeric_only,mid_dim_11-50,21,False,2,2,binary,False,5.469325153374233,high_3-10,openml,software_quality,True,8,5e-06,12.546012163162231,TTT执行,stratified,stratified split,https://www.openml.org/search?type=data&status=active&id=1067&sort=runs,1067,"**Author**: Mike Chapman, NASA  
**Source**: [tera-PROMISE](http://openscience.us/repo/defect/mccabehalsted/kc1.html) - 2004  
**Please cite**: Sayyad Shirabad, J. and Menzies, T.J. (2005) The PROMISE Repository of Software Engineering Databases. School of Information Technology and Engineering, University of Ottawa, Canada.  
  
**KC1 Software defect prediction**  
One of the NASA Metrics Data Program defect data sets. Data from software for storage management for receiving and processing ground data. Data comes from McCabe and Halstead features extractors of source code.  These features were defined in the 70s in an attempt to objectively characterize code features that are associated with software quality.

### Attribute Information  

1. loc             : numeric % McCabe's line count of code
2. v(g)            : numeric % McCabe ""cyclomatic complexity""
3. ev(g)           : numeric % McCabe ""essential complexity""
4. iv(g)           : numeric % McCabe ""design complexity""
5. n               : numeric % Halstead total operators + operands
6. v               : numeric % Halstead ""volume""
7. l               : numeric % Halstead ""program length""
8. d               : numeric % Halstead ""difficulty""
9. i               : numeric % Halstead ""intelligence""
10. e               : numeric % Halstead ""effort""
11. b               : numeric % Halstead 
12. t               : numeric % Halstead's time estimator
13. lOCode          : numeric % Halstead's line count
14. lOComment       : numeric % Halstead's count of lines of comments
15. lOBlank         : numeric % Halstead's count of blank lines
16. lOCodeAndComment: numeric
17. uniq_Op         : numeric % unique operators
18. uniq_Opnd       : numeric % unique operands
19. total_Op        : numeric % total operators
20. total_Opnd      : numeric % total operands
21. branchCount     : numeric % of the flow graph
22. problems        : {false,true} % module has/has not one or more reported defects

### Relevant papers  

- Shepperd, M. and Qinbao Song and Zhongbin Sun and Mair, C. (2013)
Data Quality: Some Comments on the NASA Software Defect Datasets, IEEE Transactions on Software Engineering, 39.

- Tim Menzies and Justin S. Di Stefano (2004) How Good is Your Blind Spot Sampling Policy? 2004 IEEE Conference on High Assurance
Software Engineering.

- T. Menzies and J. DiStefano and A. Orrego and R. Chapman (2004) Assessing Predictors of Software Defects"", Workshop on Predictive Software Models, Chicago","{'loc': 'loc', 'v(g)': 'v(g)', 'ev(g)': 'ev(g)', 'iv(g)': 'iv(g)', 'n': 'n', 'v': 'v', 'l': 'l', 'd': 'd', 'i': 'i', 'e': 'e', 'b': 'b', 't': 't', 'lOCode': 'lOCode', 'lOComment': 'lOComment', 'lOBlank': 'lOBlank', 'locCodeAndComment': 'locCodeAndComment', 'uniq_Op': 'uniq_Op', 'uniq_Opnd': 'uniq_Opnd', 'total_Op': 'total_Op', 'total_Opnd': 'total_Opnd', 'branchCount': 'branchCount'}",{},missing,missing,"TTT step8 提升 +1.1848 pp；TTT执行；中等headroom；数据形态 small_<1.5k, mid_dim_11-50, binary, numeric_only。",data178/kc1/info.json,False
