dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_gate_d,n_test_e,ttt_loss,ttt_steps,ttt_lr,ttt_update_ran,ttt_gate_passed,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,gate_baseline_accuracy,gate_adapted_accuracy,gate_accuracy_delta,gate_baseline_loss,gate_adapted_loss,gate_loss_delta,ttt_gate_threshold,ttt_gate_reason
ASP-POTASSCO-classification,/home/crc00006699/zh/tabiclv2/data178/ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.4401544401544401,4.881005048751831,2.0552000999450684,ok,,1035,581,299,155,259,,0,4.6125236243355895e-05,False,False,False,0.5533528327941895,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.4129032258064516,,,1.763118532495089,,,0.0,TTT training skipped because n_classes=11 exceeds model max_classes=10
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data178/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9879349758699516,68.70510077476501,18.817762851715088,ok,,31492,17673,9100,4719,7874,0.024762300774455,10,4.6125236243355895e-05,True,True,True,53.04471302032471,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.987073532528078,0.9872854418308964,0.0002119093028184,0.031683115770666,0.033845348287106,0.00216223251644,0.0,Gate passed: gate_accuracy_delta=0.000212 > threshold=0.000000
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data178/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.877,8.409976243972778,2.392284393310547,ok,,8000,4489,2312,1199,2000,0.3414315283298492,10,4.6125236243355895e-05,True,False,False,5.157494068145752,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.8582151793160967,0.8573811509591326,-0.0008340283569641,0.3464860190308333,0.3485734631373731,0.0020874441065397,0.0,Gate rejected: gate_accuracy_delta=-0.000834 <= threshold=0.000000
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data178/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7341428571428571,199.35235953330996,53.37389087677002,ok,,56000,31426,16182,8392,14000,0.5978541970252991,10,4.6125236243355895e-05,True,False,False,158.79214143753052,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.7393946615824595,0.7320066730219257,-0.0073879885605337,0.5431205212789614,0.5507389200148454,0.0076183987358839,0.0,Gate rejected: gate_accuracy_delta=-0.007388 <= threshold=0.000000
Customer_Personality_Analysis,/home/crc00006699/zh/tabiclv2/data178/Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.8839285714285714,3.164909601211548,0.5636963844299316,ok,,1792,1006,518,268,448,0.0186378061771392,10,4.6125236243355895e-05,True,False,False,1.018787860870361,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.8768656716417911,0.8656716417910447,-0.0111940298507463,0.2869950502305755,0.3138341583333193,0.0268391081027438,0.0,Gate rejected: gate_accuracy_delta=-0.011194 <= threshold=0.000000
Employee,/home/crc00006699/zh/tabiclv2/data178/Employee,binclass,3722,745,931,8,2,0.8528464017185822,3.609251022338867,0.8900613784790039,ok,,3722,2089,1075,558,931,0.4719241857528686,10,4.6125236243355895e-05,True,False,False,1.9063904285430908,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.8422939068100358,0.8297491039426523,-0.0125448028673834,0.3585050011069176,0.3667643471516366,0.008259346044719,0.0,Gate rejected: gate_accuracy_delta=-0.012545 <= threshold=0.000000
FOREX_audcad-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audcad-hour-High,binclass,35060,7012,8765,10,2,0.7120365088419852,85.38050246238708,23.08096146583557,ok,,35060,19675,10131,5254,8765,0.7033148407936096,10,4.6125236243355895e-05,True,False,False,66.26009106636047,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.7051770079939094,0.6878568709554626,-0.0173201370384468,0.5613400407979234,0.6330958046366223,0.0717557638386988,0.0,Gate rejected: gate_accuracy_delta=-0.017320 <= threshold=0.000000
FOREX_audjpy-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audjpy-hour-High,binclass,35060,7012,8765,10,2,0.7086138049058757,85.2010350227356,23.084057807922363,ok,,35060,19675,10131,5254,8765,0.7299110889434814,10,4.6125236243355895e-05,True,False,False,66.072016954422,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.6889988580129425,0.5768937952036544,-0.1121050628092881,0.5814879613014381,0.6708747485678029,0.0893867872663648,0.0,Gate rejected: gate_accuracy_delta=-0.112105 <= threshold=0.000000
FOREX_cadjpy-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_cadjpy-day-High,binclass,1467,294,367,10,2,0.7029972752043597,2.0288805961608887,0.3324513435363769,ok,,1467,823,424,220,367,0.6907037496566772,10,4.6125236243355895e-05,True,True,True,0.8023343086242676,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.6863636363636364,0.7272727272727273,0.0409090909090908,0.5810932720334346,0.6033178571661242,0.0222245851326895,0.0,Gate passed: gate_accuracy_delta=0.040909 > threshold=0.000000
Fitness_Club_c,/home/crc00006699/zh/tabiclv2/data178/Fitness_Club_c,binclass,1200,240,300,6,2,0.7866666666666666,1.8775973320007324,0.2110047340393066,ok,,1200,673,347,180,300,0.4158250987529754,10,4.6125236243355895e-05,True,False,False,0.7369136810302734,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.7666666666666667,0.7611111111111111,-0.0055555555555556,0.4453369285394394,0.4392469342511474,-0.0060899942882919,0.0,Gate rejected: gate_accuracy_delta=-0.005556 <= threshold=0.000000
