dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,fit_seconds,predict_seconds,status,error
ASP-POTASSCO-classification,/data0/zhuhao2025/tabiclv2_test/data178/ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.4826254826254826,0.0544116497039794,80.41746497154236,ok,
BLE_RSSI_dataset_for_Indoor_localization,/data0/zhuhao2025/tabiclv2_test/data178/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7361041562343515,0.6550326347351074,2.08093810081482,ok,
BNG(cmc),/data0/zhuhao2025/tabiclv2_test/data178/BNG(cmc),multiclass,44236,8848,11060,9,3,0.579746835443038,6.572720766067505,85.57203459739685,ok,
Bank_Customer_Churn_Dataset,/data0/zhuhao2025/tabiclv2_test/data178/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.878,1.0308170318603516,4.51617693901062,ok,
California-Housing-Classification,/data0/zhuhao2025/tabiclv2_test/data178/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9190891472868216,2.146056652069092,16.746455907821655,ok,
Click_prediction_small,/data0/zhuhao2025/tabiclv2_test/data178/Click_prediction_small,binclass,31958,6392,7990,3,2,0.8330413016270338,2.8511176109313965,23.10140633583069,ok,
Customer_Personality_Analysis,/data0/zhuhao2025/tabiclv2_test/data178/Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.8950892857142857,0.5791101455688477,1.078129529953003,ok,
E-CommereShippingData,/data0/zhuhao2025/tabiclv2_test/data178/E-CommereShippingData,binclass,8799,1760,2200,10,2,0.6790909090909091,1.0692782402038574,5.289074420928955,ok,
FICO-HELOC-cleaned,/data0/zhuhao2025/tabiclv2_test/data178/FICO-HELOC-cleaned,binclass,7896,1580,1975,23,2,0.7473417721518988,1.9661943912506104,9.586042642593384,ok,
FOREX_audcad-hour-High,/data0/zhuhao2025/tabiclv2_test/data178/FOREX_audcad-hour-High,binclass,35060,7012,8765,10,2,0.7123787792355961,5.729720115661621,81.18965101242065,ok,
FOREX_audjpy-day-High,/data0/zhuhao2025/tabiclv2_test/data178/FOREX_audjpy-day-High,binclass,1465,293,367,10,2,0.776566757493188,1.1626360416412354,0.6301798820495605,ok,
FOREX_audsgd-hour-High,/data0/zhuhao2025/tabiclv2_test/data178/FOREX_audsgd-hour-High,binclass,35060,7012,8765,10,2,0.7094124358243012,9.056050300598145,81.03129243850708,ok,
FOREX_cadjpy-day-High,/data0/zhuhao2025/tabiclv2_test/data178/FOREX_cadjpy-day-High,binclass,1467,294,367,10,2,0.7247956403269755,0.3273906707763672,0.5131678581237793,ok,
Firm-Teacher_Clave-Direction_Classification,/data0/zhuhao2025/tabiclv2_test/data178/Firm-Teacher_Clave-Direction_Classification,multiclass,8640,1728,2160,16,4,0.8513888888888889,1.0222954750061035,5.8078343868255615,ok,
