dataset_name,accuracy_base,accuracy_ttt,delta_accuracy,delta_correct,accuracy_direction,n_train_base,n_val_base,n_test_base,n_features_base,n_classes_base,ttt_applied_bool,baseline_fallback_fill,true_ttt_accepted,ttt_steps,ttt_loss,ttt_update_seconds,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_split_reason,info_total_rows,info_train_size,info_val_size,info_test_size,info_n_features,info_n_num_features,info_n_cat_features,info_n_classes,info_imbalance_ratio,sample_size_bin,feature_count_bin,error_ttt
eye_movements_bin,0.6550591327201051,0.9507227332457292,0.2956636005256241,449.99999999999994,提升,6086,1218,1522,20,2,True,False,True,30,0.3701567729003727,539.4082975387573,30,1,epoch_chunk,0.645320197044335,0.9203612479474548,30,False,full train set chunked per epoch | validation=dataset_val_split,7608,4868,1218,1522,20,20,0,2,1.0,5k-20k,11-30,
eye_movements,0.8354661791590493,0.9657221206581352,0.13025594149908593,285.0,提升,8748,1750,2188,27,3,True,False,True,30,0.2349948030896484,1031.5006313323977,30,1,epoch_chunk,0.8154285714285714,0.9582857142857144,30,False,full train set chunked per epoch | validation=dataset_val_split,10936,6998,1750,2188,27,24,3,3,1.4850174216027874,5k-20k,11-30,
Click_prediction_small,0.7178973717146433,0.8334167709637046,0.1155193992490613,922.9999999999998,提升,31958,6392,7990,3,2,True,False,True,28,0.4329749904572963,861.1744821071625,30,2,epoch_chunk,0.8322903629536921,0.8327596996245307,6,True,full train set chunked per epoch | validation=dataset_val_split,39948,25566,6392,7990,3,3,0,2,,20k-100k,<=10,
jungle_chess_2pcs_raw_endgame_complete,0.892458723784025,0.9803659080767516,0.08790718429272659,788.0000000000011,提升,35855,7171,8964,6,3,True,False,True,60,0.2302396669983863,5377.361808776856,30,2,epoch_chunk,0.8962487798075582,0.9719704364802676,30,False,full train set chunked per epoch | validation=dataset_val_split,44819,28684,7171,8964,6,6,0,3,5.3199538638985,20k-100k,<=10,
compass,0.8305797536797838,0.8987683989185942,0.06818864523881041,226.99999999999986,提升,13315,2663,3329,17,2,True,False,True,30,0.3351252404972911,1686.4257745742798,30,1,epoch_chunk,0.8062335711603454,0.8787082238077356,30,False,full train set chunked per epoch | validation=dataset_val_split,16644,10652,2663,3329,17,8,9,2,1.0,5k-20k,11-30,
BLE_RSSI_dataset_for_Indoor_localization,0.7336004006009014,0.7766649974962444,0.04306459689534303,86.00000000000004,提升,7987,1598,1997,3,3,True,False,True,30,0.5472536012530327,346.4659342765808,30,1,epoch_chunk,0.7509386733416771,0.7834793491864831,26,False,full train set chunked per epoch | validation=dataset_val_split,9984,6389,1598,1997,3,3,0,3,,5k-20k,<=10,
artificial-characters,0.9408023483365948,0.9740704500978472,0.03326810176125239,67.99999999999989,提升,8174,1635,2044,7,10,True,False,True,30,0.2077797870151698,666.8997671604156,30,1,epoch_chunk,0.8880733944954129,0.9480122324159022,30,False,full train set chunked per epoch | validation=dataset_val_split,10218,6539,1635,2044,7,7,0,10,2.36,5k-20k,<=10,
electricity,0.9261833829857664,0.9417411453161204,0.015557762330353997,140.99999999999827,提升,36249,7250,9063,8,2,True,False,True,60,0.279958407394588,5599.327779531479,30,2,epoch_chunk,0.9164137931034484,0.9325517241379312,30,False,full train set chunked per epoch | validation=dataset_val_split,45312,28999,7250,9063,8,7,1,2,1.3554608306908562,20k-100k,<=10,
Basketball_c,0.7014925373134329,0.7164179104477612,0.01492537313432829,3.999999999999982,提升,1072,215,268,11,2,True,False,True,19,0.6135827135294676,43.96201705932617,30,1,epoch_chunk,0.7534883720930232,0.7627906976744186,11,True,full train set chunked per epoch | validation=dataset_val_split,1340,857,215,268,11,11,0,2,,1k-5k,11-30,
GesturePhaseSegmentationProcessed,0.8273417721518987,0.8420253164556962,0.01468354430379748,29.00000000000002,提升,7898,1580,1975,32,5,True,False,True,25,0.6110010854899883,797.9714410305023,30,1,epoch_chunk,0.790506329113924,0.810126582278481,17,True,full train set chunked per epoch | validation=dataset_val_split,9873,6318,1580,1975,32,32,0,5,2.9559118236472948,5k-20k,31-100,
mfeat-zernike,0.8975,0.9075,0.010000000000000009,4.0000000000000036,提升,1600,320,400,47,10,True,False,True,17,0.1912147519178688,94.47653698921204,30,1,epoch_chunk,0.9,0.9125,9,True,full train set chunked per epoch | validation=dataset_val_split,2000,1280,320,400,47,47,0,10,1.0,1k-5k,31-100,
Firm-Teacher_Clave-Direction_Classification,0.8791666666666667,0.8870370370370371,0.007870370370370416,17.0000000000001,提升,8640,1728,2160,16,4,True,False,True,23,0.3303346568718552,656.2728748321533,30,1,epoch_chunk,0.8663194444444444,0.8721064814814815,15,True,full train set chunked per epoch | validation=dataset_val_split,10800,6912,1728,2160,16,0,16,4,,5k-20k,11-30,
steel_plates_faults,0.8483290488431876,0.8560411311053985,0.007712082262210873,3.0000000000000298,提升,1552,311,389,27,7,True,False,True,11,0.4143114136531949,45.94175410270691,30,1,epoch_chunk,0.8038585209003215,0.819935691318328,3,True,full train set chunked per epoch | validation=dataset_val_split,1941,1241,311,389,27,25,2,7,,1k-5k,11-30,
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,0.595,0.6025,0.007500000000000062,3.000000000000025,提升,1600,320,400,7,2,True,False,True,12,0.631160905584693,29.02566957473755,30,1,epoch_chunk,0.659375,0.6625,4,True,full train set chunked per epoch | validation=dataset_val_split,2000,1280,320,400,7,3,4,2,1.244668911335578,1k-5k,<=10,
kdd_ipums_la_97-small,0.8853564547206165,0.8901734104046243,0.004816955684007751,5.000000000000045,提升,4150,830,1038,20,2,True,False,True,23,0.2663140762597322,260.460022687912,30,1,epoch_chunk,0.8795180722891566,0.8879518072289156,15,True,full train set chunked per epoch | validation=dataset_val_split,5188,3320,830,1038,20,20,0,2,1.0,5k-20k,11-30,
PizzaCutter3,0.8851674641148325,0.8899521531100478,0.004784688995215336,1.0000000000000053,提升,834,167,209,37,2,True,False,True,10,0.3058040579780936,31.15415668487549,30,1,epoch_chunk,0.8922155688622755,0.8982035928143712,2,True,full train set chunked per epoch | validation=dataset_val_split,1043,667,167,209,37,37,0,2,7.21259842519685,1k-5k,31-100,
waveform_database_generator,0.354,0.358,0.0040000000000000036,4.0000000000000036,提升,3999,800,1000,21,3,True,False,True,24,1.0971061140298843,249.5123443603516,30,1,epoch_chunk,0.33125,0.34375,16,True,full train set chunked per epoch | validation=dataset_val_split,4999,3199,800,1000,21,21,0,3,,1k-5k,11-30,
accelerometer,0.7422633247279501,0.7456945851442763,0.003431260416326243,104.99999999999936,提升,122403,24481,30601,4,4,True,False,True,48,0.5729852970689535,5763.654284238815,30,5,epoch_chunk,0.7434745312691475,0.7463747395939708,2,True,full train set chunked per epoch | validation=dataset_val_split,153004,97922,24481,30601,4,3,1,4,,>100k,<=10,
California-Housing-Classification,0.9217538759689924,0.9249031007751938,0.0031492248062013894,12.999999999999336,提升,16512,3303,4128,8,2,True,False,True,23,0.1876077810302376,1659.2667787075045,30,1,epoch_chunk,0.916439600363306,0.9215864365728126,15,True,full train set chunked per epoch | validation=dataset_val_split,20640,13209,3303,4128,8,8,0,2,1.0005815644082583,20k-100k,<=10,
satimage,0.9416796267496113,0.9447900466562986,0.0031104199066873672,3.9999999999999543,提升,5144,1029,1286,36,6,True,False,True,20,0.1922256629914045,379.2997305393219,30,1,epoch_chunk,0.9319727891156464,0.9426627793974732,12,True,full train set chunked per epoch | validation=dataset_val_split,6430,4115,1029,1286,36,36,0,6,2.4496,5k-20k,31-100,
rl,0.9054325955734408,0.908450704225352,0.003018108651911211,2.9999999999997438,提升,3976,796,994,12,2,True,False,True,14,0.3071482321247458,122.03554677963255,30,1,epoch_chunk,0.8793969849246231,0.8907035175879398,6,True,full train set chunked per epoch | validation=dataset_val_split,4970,3180,796,994,12,5,7,2,1.0,1k-5k,11-30,
waveform-5000,0.865,0.868,0.0030000000000000027,3.0000000000000027,提升,4000,800,1000,40,3,True,False,True,10,0.253965051844716,142.9787015914917,30,1,epoch_chunk,0.87375,0.875,2,True,full train set chunked per epoch | validation=dataset_val_split,5000,3200,800,1000,40,40,0,3,1.0235934664246824,1k-5k,31-100,
FOREX_audusd-hour-High,0.7070165430690245,0.7099828864803195,0.0029663434112949805,26.000000000000504,提升,35060,7012,8765,10,2,True,False,True,42,0.5620832815766335,3888.9030842781062,30,2,epoch_chunk,0.7086423274386765,0.7167712492869367,13,True,full train set chunked per epoch | validation=dataset_val_split,43825,28048,7012,8765,10,10,0,2,1.1258792141644434,20k-100k,<=10,
mozilla4,0.944033451270505,0.9469282727565134,0.002894821486008392,9.00000000000009,提升,12436,2488,3109,4,2,True,False,True,22,0.1744594741612672,475.33189964294434,30,1,epoch_chunk,0.9409163987138264,0.9437299035369776,14,True,full train set chunked per epoch | validation=dataset_val_split,15545,9948,2488,3109,4,4,0,2,2.043265465935787,5k-20k,<=10,
FOREX_audchf-day-High,0.7493188010899182,0.7520435967302452,0.0027247956403270157,1.0000000000000147,提升,1466,294,367,10,2,True,False,True,14,0.5251205805689096,38.33545017242432,30,1,epoch_chunk,0.7142857142857143,0.7244897959183674,6,True,full train set chunked per epoch | validation=dataset_val_split,1833,1172,294,367,10,10,0,2,1.0276548672566372,1k-5k,<=10,
mfeat-fourier,0.9225,0.925,0.0025000000000000577,1.000000000000023,提升,1600,320,400,76,10,True,False,True,12,0.2263757451437413,97.85203170776369,30,1,epoch_chunk,0.903125,0.909375,4,True,full train set chunked per epoch | validation=dataset_val_split,2000,1280,320,400,76,76,0,10,1.0,1k-5k,31-100,
kc1,0.8720379146919431,0.8744075829383886,0.0023696682464454666,0.9999999999999869,提升,1687,338,422,21,2,True,False,True,12,0.3437296841293573,48.90532875061035,30,1,epoch_chunk,0.878698224852071,0.8846153846153846,4,True,full train set chunked per epoch | validation=dataset_val_split,2109,1349,338,422,21,21,0,2,5.469325153374233,1k-5k,11-30,
Customer_Personality_Analysis,0.890625,0.8928571428571429,0.0022321428571429047,1.0000000000000213,提升,1792,359,448,24,2,True,False,True,9,0.2665187120437622,40.61457633972168,30,1,epoch_chunk,0.8885793871866295,0.8913649025069638,1,True,full train set chunked per epoch | validation=dataset_val_split,2240,1433,359,448,24,22,2,2,,1k-5k,11-30,
ada_agnostic,0.8510405257393209,0.8532311062431545,0.0021905805038335835,2.0000000000000617,提升,3649,730,913,48,2,True,False,True,10,0.32456293143332,137.16090059280396,30,1,epoch_chunk,0.8356164383561644,0.8561643835616438,2,True,full train set chunked per epoch | validation=dataset_val_split,4562,2919,730,913,48,48,0,2,,1k-5k,31-100,
ozone-level-8hr,0.9546351084812624,0.9566074950690336,0.0019723865877712132,1.000000000000005,提升,2027,406,507,72,2,True,False,True,14,0.1553051453083753,144.35992431640625,30,1,epoch_chunk,0.9458128078817734,0.9507389162561576,6,True,full train set chunked per epoch | validation=dataset_val_split,2534,1621,406,507,72,72,0,2,14.8375,1k-5k,31-100,
in_vehicle_coupon_recommendation,0.7871501773748522,0.7891210090658258,0.0019708316909736734,5.00000000000021,提升,10147,2030,2537,21,2,True,False,True,15,0.4869465921074152,581.6942448616028,30,1,epoch_chunk,0.7640394088669951,0.767487684729064,7,True,full train set chunked per epoch | validation=dataset_val_split,12684,8117,2030,2537,21,0,21,2,,5k-20k,11-30,
FOREX_audsgd-hour-High,0.7105533371363377,0.7124928693667998,0.00193953223046206,16.999999999999954,提升,35060,7012,8765,10,2,True,False,True,58,0.5765517540276051,5418.464160203934,30,2,epoch_chunk,0.7137763833428409,0.7194808899030234,21,True,full train set chunked per epoch | validation=dataset_val_split,43825,28048,7012,8765,10,10,0,2,1.0607043776743312,20k-100k,<=10,
Cardiovascular-Disease-dataset,0.7322142857142857,0.734,0.0017857142857142794,24.99999999999991,提升,56000,11200,14000,11,2,True,False,True,48,0.5314604006707668,5202.614682197571,30,3,epoch_chunk,0.7325892857142857,0.7327678571428572,8,True,full train set chunked per epoch | validation=dataset_val_split,70000,44800,11200,14000,11,5,6,2,1.0012007204322593,20k-100k,11-30,
microaggregation2,0.64425,0.64575,0.0015000000000000568,6.000000000000227,提升,16000,3200,4000,20,5,True,False,True,9,0.8530948534607887,713.6206436157227,30,1,epoch_chunk,0.631875,0.6509375,1,True,full train set chunked per epoch | validation=dataset_val_split,20000,12800,3200,4000,20,20,0,5,15.022880215343204,5k-20k,11-30,
E-CommereShippingData,0.6763636363636364,0.6777272727272727,0.0013636363636363447,2.9999999999999583,提升,8799,1760,2200,10,2,True,False,True,18,0.4911956945434212,472.0916504859924,30,1,epoch_chunk,0.6840909090909091,0.6863636363636364,10,True,full train set chunked per epoch | validation=dataset_val_split,10999,7039,1760,2200,10,6,4,2,,5k-20k,<=10,
allrep,0.9841059602649008,0.9854304635761588,0.0013245033112579963,0.9999999999997872,提升,3017,604,755,29,4,True,False,True,11,0.0485400984762236,93.5659806728363,30,1,epoch_chunk,0.9867549668874172,0.98841059602649,3,True,full train set chunked per epoch | validation=dataset_val_split,3772,2413,604,755,29,6,23,4,107.29411764705883,1k-5k,11-30,
ada,0.8626506024096385,0.863855421686747,0.001204819277108471,1.0000000000000309,提升,3317,664,830,48,2,True,False,True,14,0.3375658160075545,174.75825428962708,30,1,epoch_chunk,0.8689759036144579,0.8795180722891566,6,True,full train set chunked per epoch | validation=dataset_val_split,4147,2653,664,830,48,48,0,2,3.0301263362487854,1k-5k,31-100,
credit,0.7858211187556088,0.7870176488184266,0.0011965300628178355,4.000000000000024,提升,13371,2675,3343,10,2,True,False,True,15,0.4776884065940976,773.982744216919,30,1,epoch_chunk,0.7794392523364486,0.7831775700934579,7,True,full train set chunked per epoch | validation=dataset_val_split,16714,10696,2675,3343,10,10,0,2,1.0,5k-20k,<=10,
predict_students_dropout_and_academic_success,0.7830508474576271,0.784180790960452,0.001129943502824915,1.0000000000000497,提升,3539,708,885,34,3,True,False,True,15,0.5502890404313803,170.97247409820557,30,1,epoch_chunk,0.8022598870056498,0.8121468926553672,7,True,full train set chunked per epoch | validation=dataset_val_split,4424,2831,708,885,34,5,29,3,,1k-5k,31-100,
ada_prior,0.8554216867469879,0.8565169769989047,0.0010952902519167917,1.0000000000000309,提升,3649,730,913,14,2,True,False,True,13,0.3117978870868683,108.49521493911745,30,1,epoch_chunk,0.8342465753424657,0.8424657534246576,5,True,full train set chunked per epoch | validation=dataset_val_split,4562,2919,730,913,14,6,8,2,3.030035335689046,1k-5k,11-30,
Employee,0.8603651987110634,0.8614393125671321,0.0010741138560687036,0.999999999999963,提升,3722,745,931,8,2,True,False,True,13,0.3658025534823537,97.12857866287231,30,1,epoch_chunk,0.8523489932885906,0.8577181208053691,5,True,full train set chunked per epoch | validation=dataset_val_split,4653,2977,745,931,8,3,5,2,,1k-5k,<=10,
jm1,0.819935691318328,0.8208543867707855,0.0009186954524574853,1.9999999999999454,提升,8708,1742,2177,21,2,True,False,True,11,0.4191650627180934,345.9917161464691,30,1,epoch_chunk,0.8214695752009185,0.8266360505166476,3,True,full train set chunked per epoch | validation=dataset_val_split,10885,6966,1742,2177,21,21,0,2,4.168566001899335,5k-20k,11-30,
FOREX_cadjpy-hour-High,0.7159155733029093,0.7168282943525385,0.0009127210496291394,7.999999999999407,提升,35060,7012,8765,10,2,True,False,True,46,0.5499532390385866,4297.628052949905,30,2,epoch_chunk,0.7119224187107815,0.7183399885909869,15,True,full train set chunked per epoch | validation=dataset_val_split,43825,28048,7012,8765,10,10,0,2,1.0738690138179066,20k-100k,<=10,
company_bankruptcy_prediction,0.968475073313783,0.969208211143695,0.0007331378299120228,0.9999999999999991,提升,5455,1091,1364,95,2,True,False,True,11,0.0931399550754576,424.5357277393341,30,1,epoch_chunk,0.9697525206232814,0.9715857011915674,3,True,full train set chunked per epoch | validation=dataset_val_split,6819,4364,1091,1364,95,93,2,2,,5k-20k,31-100,
Amazon_employee_access,0.9441562404638388,0.9447665547757096,0.0006103143118707521,4.0000000000009095,提升,26215,5243,6554,7,2,True,False,True,60,0.2218231996521353,3970.780950307846,30,2,epoch_chunk,0.9488842265878314,0.9515544535571238,30,False,full train set chunked per epoch | validation=dataset_val_split,32769,20972,5243,6554,7,0,7,2,16.274117026884554,20k-100k,<=10,
MagicTelescope,0.8940588853838065,0.8945846477392219,0.000525762355415349,1.9999999999999876,提升,15216,3044,3804,9,2,True,False,True,22,0.2806076277047395,1374.0353798866272,30,1,epoch_chunk,0.8827201051248358,0.8853482260183968,14,True,full train set chunked per epoch | validation=dataset_val_split,19020,12172,3044,3804,9,9,0,2,1.8438995215311005,5k-20k,<=10,
